"inputfile,outputfile,vowel,interval,duration,start,end,previous_sound,next_sound,omit,word,word_interval,word_start,word_end,previous_word,next_word"
"bnew_08,bnew_08_0001,æ,2,0.08999999999999986,2.17,2.26,-,-,0,thirty,9,2.1,2.37,on,nine"
"bnew_08,bnew_08_0002,ɜ,4,0.19000000000000128,8.95,9.14,-,-,0,rebirth,25,8.72,9.2,cocoa,-"
"bnew_08,bnew_08_0003,ɔ,6,0.05999999999999872,16.48,16.54,-,-,0,further,49,16.41,16.69,president,said"
"bnew_08,bnew_08_0004,ɜ,8,0.16000000000000014,19.3,19.46,-,-,0,rebirth,58,19.05,19.51,cocoa,-"
"bnew_08,bnew_08_0005,ɒ,10,0.2269489633111732,34.871359451986905,35.09830841529808,-,-,0,world,107,34.77,35.19,the,-"
"bnew_08,bnew_08_0006,ɜ,12,0.1699999999999946,57.99,58.16,-,-,0,rebirth,175,57.77,58.21,cocoa,-"
"bnew_08,bnew_08_0007,ɑ,14,0.09000000000000341,59.25,59.34,-,-,0,diversify,179,59.01,59.71,to,Nigeria's"
"bnew_08,bnew_08_0008,ɒ,16,0.18602259185763614,63.74,63.92602259185764,-,-,0,world,192,63.61,64.04,the,-"
"bnew_08,bnew_08_0009,ɜ,18,0.12999999999999545,209.19,209.32,-,-,0,research,489,208.97,209.51,space,and"
"bnew_08,bnew_08_0010,ɛ,20,0.09511503710700708,315.7016876242914,315.79680266139843,-,-,0,unversity,683,315.62921902459084,316.01,candidates,in"
"bnew_08,bnew_08_0011,ɔ,22,0.1041736120695873,352.6658581611758,352.77003177324536,-,-,0,further,718,352.63,352.8,-,Action"
"bnew_08,bnew_08_0012,æ,24,0.1449371994011699,420.3279855384518,420.47292273785297,-,-,0,experts,856,420.2736340886763,420.58,High,Abuja"
"bnew_08,bnew_08_0013,æ,26,0.09511503710700708,424.8452488574171,424.9403638945241,-,-,0,university,872,424.8180731325294,425.32,Congress,and"
"bnew_08,bnew_08_0014,æ,28,0.10417361206964415,799.9703016159754,800.074475228045,-,-,0,determine,1763,799.644989,800.37,the,supplementary"
"bnew_08,bnew_08_0015,ɜ,30,0.08153012515981573,855.8384698748401,855.92,-,-,0,further,1944,855.74,856.01,-,asked"
"bnew_08,bnew_08_0016,ɛ,32,0.07999999999992724,896.09,896.17,-,-,0,university,2045,895.7936756999478,896.68,plaintiffs,to"
"bnew_09,bnew_09_0001,ɜ,2,0.11574831222037307,3.43,3.5457483122203732,-,-,0,University,8,3.09,4.05,Awolowo,-"
"bnew_09,bnew_09_0002,ɛ,4,0.08000000000000007,14.62,14.7,-,-,0,university,44,14.35,15.03,the,Professor"
"bnew_09,bnew_09_0003,ɛ,6,0.07000000000000028,50.72,50.79,-,-,0,university,151,50.46,51.11,the,-"
"bnew_09,bnew_09_0004,ɛ,8,0.0799999999999983,54.47,54.55,-,-,0,university,160,54.23,54.9,the,administration"
"bnew_09,bnew_09_0005,æ,10,0.11999999999999744,56.17,56.29,-,-,0,affirmed,162,55.89,56.44,administration,that"
"bnew_09,bnew_09_0006,ɔ,12,0.17273917309610454,69.4372608269039,69.61,-,-,0,urged,201,69.22,69.82,Faborode,them"
"bnew_09,bnew_09_0007,ɛ,14,0.10999999999999943,97.91,98.02,-,-,0,university,292,97.59,98.21,the,administration"
"bnew_09,bnew_09_0008,ɑ,16,0.12000000000000455,107.83,107.95,-,-,0,rebirth,316,107.6,108.02,cocoa,celebrations"
"bnew_09,bnew_09_0009,ɛ,18,0.09000000000000341,109.78,109.87,-,-,0,earlier,324,109.78,110.08,-,this"
"bnew_09,bnew_09_0010,ɛ,20,0.07360092157091458,453.8939627416735,453.9675636632444,-,-,0,service,1155,453.87433582925456,454.26,Mosobalaje,who"
"bnew_09,bnew_09_0011,ɑ,22,0.04613923546969545,569.3255501211543,569.371689356624,-,-,0,fertilizer,1383,569.24,569.8322996903808,-,five"
"bnew_09,bnew_09_0012,æ,24,0.0401426400831042,597.446617327051,597.486759967134,-,-,0,fertilizer,1439,597.4217047953161,597.9847598722345,six,states"
"bnew_09,bnew_09_0013,ɛ,26,0.1605705603324168,717.17129883085,717.3318693911824,-,-,0,firm,1662,717.12,717.4263226619662,include,civilians"
"bnew_10,bnew_10_0001,ɛ,2,0.09000000000000008,1.39,1.48,-,-,0,thirty,7,1.33,1.63,on,nine"
"bnew_10,bnew_10_0002,ɜ,4,0.08999999999999986,26.28,26.37,-,-,0,certain,82,26.17,26.52,by,public"
"bnew_10,bnew_10_0003,ɔ,6,0.10989879659808466,28.41,28.519898796598085,-,-,0,persons,89,28.36,28.91,other,-"
"bnew_10,bnew_10_0004,ɔ,8,0.0907532035792542,204.1651640296245,204.25591723320375,-,-,0,nursing,279,203.83,204.8,Onifade,profession"
"bnew_10,bnew_10_0005,ɜ,10,0.07745663777706113,213.85560436418427,213.93306100196133,-,-,0,university,298,213.60969423920793,214.12,famers,in"
"bnew_10,bnew_10_0006,ɔ,12,0.07916467459492083,219.04090737508056,219.12007204967549,-,-,0,nurses,310,218.93,219.27,east,local"
"bnew_10,bnew_10_0007,ɔ,14,0.0977579816660068,231.90311472383095,232.00087270549696,-,-,0,nurses,331,231.81,232.07,over,family"
"bnew_10,bnew_10_0008,ɔ,16,0.07358442314620106,253.3754389429669,253.4490233661131,-,-,0,nurses,378,253.36492688251744,253.52,report,all"
"bnew_10,bnew_10_0009,æ,18,0.09250613195524693,259.54550948503345,259.6380156169887,-,-,0,services,390,259.5,259.81,said,the"
"bnew_10,bnew_10_0010,æ,20,0.0743886634655837,304.1466836701304,304.221072333596,-,-,0,university,439,303.88891830137766,304.4667279199241,he,that"
"bnew_10,bnew_10_0011,ɔ,22,0.07589865617234182,307.4711297243465,307.54702838051884,-,-,0,nurses,451,307.31858830752947,307.6921287526131,will,be"
"bnew_10,bnew_10_0012,ɔ,24,0.11310387978625158,321.3834115070004,321.49651538678665,-,-,0,nursing,482,321.3298359849964,321.6453362812423,Ignatius,Ayua"
"bnew_10,bnew_10_0013,ɒ,26,0.09371316413728437,326.04372746019834,326.1374406243356,-,-,0,nursing,492,326.03,326.27597312784286,inception,practice"
